Email,Exam,Exam_num,Exam_Score,Start.Date,HAVING.READ.THE.INFORMATION.PROVIDED..YOU.MUST.DECIDE.WHETHER.OR.NOT.YOU.WISH.TO.PARTICIPATE.IN.THIS.RESEARCH.STUDY..CLICKING.�..I.CONSENT�...SHOWS.YOUR.WILLINGNESS.TO.PARTICIPATE.,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Selected.Choice,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Other..Fill.in.the.blank....Text,Please.explain.your.greatest.concern.regarding.taking.today.s.online.proctored.exam.,How.concerned.are.you.about.the.concern.you.just.wrote.about....Selected.Choice,How.concerned.are.you.about.the.concern.you.just.wrote.about....Other...Text,When.taking.this.exam.remotely.with.online.proctoring..e.g..LockDown.browser.and.webcam...what.percentage.of.your.classmates.do.you.believe.were.cheating....Percent.of.students.cheating,Proctoring.SS,Score.SS,Anxiety.SS,Study.SS,ClassStudy.SS,ST1Q01,ST1Q02,ST1Q03,ST1Q04,ST1Q05,Did_not_study,Stuided_less,Studied_same,Understanding,Less_anxious,Prepared_Notes,No_Notes,Studied_more,External_resources,FinalExam,FinalGrade
1,Exam 1,1,62,2/9/2021 9:02,I CONSENT,Internet connection was too slow,,I weird to feel a webcam proctoring you and it feels unsafe.,Moderately concerned,,40,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Raised,Much Less,Much less for this exam,0,2,2,-2,-2,0,1,0,0,0,0,0,0,0,53.3,75.47
2,Exam 1,1,80,2/9/2021 9:38,I CONSENT,Other. Fill in the blank.,We had to pay!,We had to pay 15 dollars.,Moderately concerned,,0,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much More,Much more for this exam,0,2,-2,2,2,0,0,0,0,0,1,0,0,0,75.6,86.68
3,Exam 1,1,82,2/9/2021 8:30,I CONSENT,,,that I would be considered cheating for looking at my notes,Slightly concerned,,5,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,0,2,-2,-1,-2,0,0,1,0,0,0,0,0,0,60,84.05
4,Exam 1,1,92,2/9/2021 8:11,I CONSENT,Other. Fill in the blank.,pay,"I was not aware of the fee that was due, so most of us students just sat around while the clock ran because we thought something was wrong. Since we had plenty of time anyway and I had 15 dollars available, it wasn't a deal for me, but I can see why it was difficult for a lot of people.",Moderately concerned,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,0,2,-2,-1,-1,0,0,0,1,0,0,0,0,0,84.4,93.17
5,Exam 1,1,90,2/9/2021 8:08,I CONSENT,,,I had to pay $15 to obtain some kind of license to be allowed to take the test. I am concerned that I am going to have to pay $15 every time I need to take a test for this class.,Very concerned,,3,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,0,2,-2,-1,-1,0,0,0,1,0,0,0,0,0,88.9,94.67
6,Exam 1,1,42,2/9/2021 8:41,I CONSENT,Other. Fill in the blank.,"wanted me to pay, but wouldnt let me pay",Lockdown browswe with webcam was hard to use,Slightly concerned,,NA,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly more for this exam,0,2,-2,-1,1,0,0,0,0,0,0,0,0,0,57.8,75.81
7,Exam 1,1,82,2/9/2021 9:10,I CONSENT,"Am not familiar with how the software works,Other. Fill in the blank.","didn't realize that we would have to purchase the software right before the exam, especially considering I took the pre-quiz without having to buy it",Getting locked down,Very concerned,,28,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,1,0,0,1,0,0,0,62.2,81.84
8,Exam 1,1,90,2/9/2021 9:16,I CONSENT,,,There was a big mix up concerning that we had to pay to use lockdown right before the test. ,Slightly concerned,,7,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,64.4,86.13
9,Exam 1,1,66,2/9/2021 8:35,I CONSENT,,,Falsely accused of cheating. ,Very concerned,,30,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,0,2,-2,0,0,0,0,1,0,0,1,0,0,0,51.1,76.76
10,Exam 1,1,56,2/9/2021 9:40,I CONSENT,"Internet connection was too slow,Proctoring software disconnected",,making sure everything is working a head of the test to ensure full test time ,Moderately concerned,,18,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,No Effect,Slightly Less,Slightly less for this exam,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,40,77.02
11,Exam 1,1,70,2/9/2021 8:33,I CONSENT,,,We had to pay $15 before we could take the test and we did not know that before hand. Some had to pay while others did not.,Moderately concerned,,20,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,2,-1,-1,-1,0,1,0,0,0,0,0,0,0,64.4,77.52
12,Exam 1,1,38,2/9/2021 7:54,I CONSENT,,,,,,10,Had no impact on difficulty for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,48.9,72.47
13,Exam 1,1,56,2/9/2021 7:31,I CONSENT,,,none.,Not all at that concerned,,30,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,Greatly Raised,Much Less,The same amount,0,0,2,-2,0,1,0,0,0,0,0,1,0,0,55.6,74.75
14,Exam 1,1,68,2/9/2021 8:07,I CONSENT,,,I wasn't concerned when taking them exam and things went very well.,Not all at that concerned,,0,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,Greatly Raised,Slightly Less,Slightly less for this exam,0,0,2,-1,-1,0,1,0,0,0,0,0,0,0,35.6,71.61
15,Exam 1,1,60,2/9/2021 9:10,I CONSENT,"Video could not detect my face,Proctoring software disconnected",,I was not provided the lockdown softwares necessary when launching the exam.,Very concerned,,10,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,Greatly Reduced,Much Less,Slightly more for this exam,0,0,-2,-2,1,0,0,0,0,0,0,0,0,0,42.2,72.33
16,Exam 1,1,68,2/9/2021 7:41,I CONSENT,,,None,Not all at that concerned,,15,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,Slightly less for this exam,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,44.4,71.37
17,Exam 1,1,64,2/9/2021 8:54,I CONSENT,Other. Fill in the blank.,,"After receiving the canvas notification that we are to pay the $15 fee, I did just that, put my phone away to avoid being flagged and took the exam on Lockdown Browser. However, I found out after the exam that other classmates were not using the browser because of the second email sent out. This is very frustrating. Additionally, I took 12 pages of notes, rewatched the lectures and printed out the study guide and I was still confused on a majority of the test. There were some words I didn't even have written down. I know that this is a difficult class and am willing to put in the work to get a good grade, but would kindly ask that you either add in your presenter notes to be accessed or add more information to the slides. Thank you.",Very concerned,,7,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,Slightly less for this exam,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,48.9,76.18
18,Exam 1,1,56,2/9/2021 8:36,I CONSENT,"Internet connection was too slow,Proctoring software disconnected,Am not familiar with how the software works,Other. Fill in the blank.","the system for the first 30 minutes wouldnt work, but by that time I had already lost most of the time I had for the test because I have a class right after this one and had to rush to finish it.",I did not have enough time for the exam because of the technical issues that the respondus browser gave me. I have a class right after this one and so I didnt have the full time to be able to answer and read through each question since I had already started 30 minutes later than everyone else. It was not a great experience and honestly stressed me out a lot and my grade shows that I did not have enough time.,Very concerned,,3,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,The same amount,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,72.21
19,Exam 1,1,64,2/9/2021 8:09,I CONSENT,Other. Fill in the blank.,IM BROKE,"i do not like this lockdown browser, I dont have &15 to drop just so that my screen can be monitered when there is a perfectly good other lockdown browser thats free and used by almost all other professors.",Very concerned,,2,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,The same amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,75.02
20,Exam 1,1,44,2/9/2021 8:36,I CONSENT,,,,Slightly concerned,,0,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,The same amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.3,74.94
21,Exam 1,1,72,2/9/2021 9:44,I CONSENT,,,,Not all at that concerned,,7,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,Slightly Raised,Much Less,Much less for this exam,0,0,1,-2,-2,0,0,0,0,0,0,0,0,0,62.2,84.21
22,Exam 1,1,44,2/9/2021 7:47,I CONSENT,Am not familiar with how the software works,,Had to pay for the lockdown browser despite having free Honorlock accounts through the university.,Moderately concerned,,15,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,48.9,76.4
23,Exam 1,1,64,2/9/2021 13:10,I CONSENT,Other. Fill in the blank.,,"I started the exam prior to the time that you sent out letters saying that the lock down browser would be removed, In my opinion I feel like those who took the exam after the lockdown browser was no longer required had an advantage that not everyone could have received. So I was wondering if I could retake the test without the lockdown browser to get the same advantage myself?  ",Very concerned,,10,Had no impact on difficulty for other students to cheat,Had no effect on my exam score,Slightly Reduced,Same Amount,Slightly more for this exam,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,55.6,76.05
24,Exam 1,1,58,2/9/2021 8:18,I CONSENT,,,It stresses me out when I am timed and proctored but can use my notes.,Very concerned,,49,Had no impact on difficulty for other students to cheat,Slightly decreased my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,55.6,84.04
25,Exam 1,1,62,2/9/2021 8:14,I CONSENT,Other. Fill in the blank.,Lockdown Browser was not letting me pay for the program.,,,,10,Had no impact on difficulty for other students to cheat,Slightly decreased my exam score,Slightly Raised,Same Amount,The same amount,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,55.6,78.69
